PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
2,0x000a,26.8738,0x00000000,2016-11-10T16:08:48.526Z,2016-11-10T16:08:48.922Z
1,0x000a,1.60522,0x00000000,2016-11-10T16:08:48.493Z,2016-11-10T16:08:48.922Z
3,0x000a,0.67749,0x00000000,2016-11-10T16:08:49.224Z,2016-11-10T16:08:49.605Z
2,0x000a,25.2808,0x00000000,2016-11-10T16:08:49.254Z,2016-11-10T16:08:49.605Z
1,0x000a,1.73035,0x00000000,2016-11-10T16:08:49.185Z,2016-11-10T16:08:49.605Z
3,0x000a,0.668335,0x00000000,2016-11-10T16:08:49.937Z,2016-11-10T16:08:50.264Z
2,0x000a,25.7172,0x00000000,2016-11-10T16:08:49.903Z,2016-11-10T16:08:50.264Z
1,0x000a,1.61438,0x00000000,2016-11-10T16:08:49.855Z,2016-11-10T16:08:50.264Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:08:50.554Z,2016-11-10T16:08:50.961Z
2,0x000a,25.8362,0x00000000,2016-11-10T16:08:50.522Z,2016-11-10T16:08:50.960Z
1,0x000a,1.61743,0x00000000,2016-11-10T16:08:50.484Z,2016-11-10T16:08:50.960Z
3,0x000a,0.680542,0x00000000,2016-11-10T16:08:51.294Z,2016-11-10T16:08:51.682Z
2,0x000a,26.4984,0x00000000,2016-11-10T16:08:51.265Z,2016-11-10T16:08:51.682Z
1,0x000a,1.76392,0x00000000,2016-11-10T16:08:51.222Z,2016-11-10T16:08:51.682Z
3,0x000a,0.732422,0x00000000,2016-11-10T16:08:51.993Z,2016-11-10T16:08:52.374Z
2,0x000a,26.6785,0x00000000,2016-11-10T16:08:51.962Z,2016-11-10T16:08:52.374Z
1,0x000a,1.63269,0x00000000,2016-11-10T16:08:51.922Z,2016-11-10T16:08:52.374Z
3,0x000a,0.671387,0x00000000,2016-11-10T16:08:52.704Z,2016-11-10T16:08:53.074Z
2,0x000a,23.5016,0x00000000,2016-11-10T16:08:52.689Z,2016-11-10T16:08:53.074Z
1,0x000a,1.73035,0x00000000,2016-11-10T16:08:52.643Z,2016-11-10T16:08:53.073Z
3,0x000a,0.732422,0x00000000,2016-11-10T16:08:53.426Z,2016-11-10T16:08:53.776Z
2,0x000a,26.9806,0x00000000,2016-11-10T16:08:53.384Z,2016-11-10T16:08:53.776Z
1,0x000a,1.61438,0x00000000,2016-11-10T16:08:53.326Z,2016-11-10T16:08:53.776Z
3,0x000a,0.805664,0x00000000,2016-11-10T16:08:54.032Z,2016-11-10T16:08:54.431Z
2,0x000a,26.1078,0x00000000,2016-11-10T16:08:54.046Z,2016-11-10T16:08:54.431Z
1,0x000a,1.64795,0x00000000,2016-11-10T16:08:53.991Z,2016-11-10T16:08:54.431Z
3,0x000a,0.723267,0x00000000,2016-11-10T16:08:54.751Z,2016-11-10T16:08:55.115Z
2,0x000a,23.8708,0x00000000,2016-11-10T16:08:54.713Z,2016-11-10T16:08:55.115Z
1,0x000a,1.73035,0x00000000,2016-11-10T16:08:54.685Z,2016-11-10T16:08:55.115Z
3,0x000a,0.732422,0x00000000,2016-11-10T16:08:55.461Z,2016-11-10T16:08:55.825Z
2,0x000a,26.9165,0x00000000,2016-11-10T16:08:55.431Z,2016-11-10T16:08:55.825Z
1,0x000a,1.75476,0x00000000,2016-11-10T16:08:55.395Z,2016-11-10T16:08:55.825Z
3,0x000a,0.72937,0x00000000,2016-11-10T16:08:56.203Z,2016-11-10T16:08:56.566Z
2,0x000a,26.9867,0x00000000,2016-11-10T16:08:56.172Z,2016-11-10T16:08:56.566Z
1,0x000a,1.64795,0x00000000,2016-11-10T16:08:56.151Z,2016-11-10T16:08:56.565Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:08:56.921Z,2016-11-10T16:08:57.288Z
2,0x000a,23.5016,0x00000000,2016-11-10T16:08:56.890Z,2016-11-10T16:08:57.287Z
1,0x000a,1.62048,0x00000000,2016-11-10T16:08:56.861Z,2016-11-10T16:08:57.287Z
3,0x000a,0.689697,0x00000000,2016-11-10T16:08:57.594Z,2016-11-10T16:08:57.930Z
2,0x000a,26.8585,0x00000000,2016-11-10T16:08:57.536Z,2016-11-10T16:08:57.929Z
1,0x000a,1.69373,0x00000000,2016-11-10T16:08:57.498Z,2016-11-10T16:08:57.929Z
3,0x000a,0.732422,0x00000000,2016-11-10T16:08:58.258Z,2016-11-10T16:08:58.632Z
2,0x000a,26.7822,0x00000000,2016-11-10T16:08:58.227Z,2016-11-10T16:08:58.632Z
1,0x000a,1.67847,0x00000000,2016-11-10T16:08:58.187Z,2016-11-10T16:08:58.632Z
3,0x000a,0.787354,0x00000000,2016-11-10T16:08:58.976Z,2016-11-10T16:08:59.350Z
2,0x000a,23.9746,0x00000000,2016-11-10T16:08:58.949Z,2016-11-10T16:08:59.350Z
1,0x000a,1.63269,0x00000000,2016-11-10T16:08:58.919Z,2016-11-10T16:08:59.349Z
3,0x000a,0.67749,0x00000000,2016-11-10T16:08:59.637Z,2016-11-10T16:09:00.041Z
2,0x000a,26.9867,0x00000000,2016-11-10T16:08:59.608Z,2016-11-10T16:09:00.041Z
1,0x000a,1.71509,0x00000000,2016-11-10T16:08:59.567Z,2016-11-10T16:09:00.040Z
3,0x000a,0.701904,0x00000000,2016-11-10T16:09:00.361Z,2016-11-10T16:09:00.726Z
2,0x000a,24.408,0x00000000,2016-11-10T16:09:00.325Z,2016-11-10T16:09:00.726Z
1,0x000a,1.74255,0x00000000,2016-11-10T16:09:00.275Z,2016-11-10T16:09:00.726Z
3,0x000a,0.708008,0x00000000,2016-11-10T16:09:01.008Z,2016-11-10T16:09:01.395Z
2,0x000a,26.9958,0x00000000,2016-11-10T16:09:00.984Z,2016-11-10T16:09:01.394Z
1,0x000a,1.63269,0x00000000,2016-11-10T16:09:00.956Z,2016-11-10T16:09:01.394Z
3,0x000a,0.717163,0x00000000,2016-11-10T16:09:01.697Z,2016-11-10T16:09:02.064Z
2,0x000a,23.5321,0x00000000,2016-11-10T16:09:01.655Z,2016-11-10T16:09:02.064Z
1,0x000a,1.63879,0x00000000,2016-11-10T16:09:01.619Z,2016-11-10T16:09:02.064Z
3,0x000a,0.769043,0x00000000,2016-11-10T16:09:02.424Z,2016-11-10T16:09:02.782Z
2,0x000a,25.293,0x00000000,2016-11-10T16:09:02.397Z,2016-11-10T16:09:02.781Z
1,0x000a,1.57166,0x00000000,2016-11-10T16:09:02.367Z,2016-11-10T16:09:02.781Z
3,0x000a,0.720215,0x00000000,2016-11-10T16:09:03.113Z,2016-11-10T16:09:03.452Z
2,0x000a,25.3418,0x00000000,2016-11-10T16:09:03.062Z,2016-11-10T16:09:03.452Z
1,0x000a,1.474,0x00000000,2016-11-10T16:09:03.016Z,2016-11-10T16:09:03.452Z
3,0x000a,0.689697,0x00000000,2016-11-10T16:09:03.826Z,2016-11-10T16:09:04.190Z
2,0x000a,25.2808,0x00000000,2016-11-10T16:09:03.796Z,2016-11-10T16:09:04.190Z
1,0x000a,1.30005,0x00000000,2016-11-10T16:09:03.737Z,2016-11-10T16:09:04.190Z
3,0x000a,0.695801,0x00000000,2016-11-10T16:09:04.480Z,2016-11-10T16:09:04.812Z
2,0x000a,24.5178,0x00000000,2016-11-10T16:09:04.457Z,2016-11-10T16:09:04.812Z
1,0x000a,1.12915,0x00000000,2016-11-10T16:09:04.419Z,2016-11-10T16:09:04.811Z
3,0x000a,0.741577,0x00000000,2016-11-10T16:09:05.122Z,2016-11-10T16:09:05.498Z
2,0x000a,23.642,0x00000000,2016-11-10T16:09:05.093Z,2016-11-10T16:09:05.498Z
1,0x000a,1.05286,0x00000000,2016-11-10T16:09:05.050Z,2016-11-10T16:09:05.497Z
3,0x000a,0.701904,0x00000000,2016-11-10T16:09:05.880Z,2016-11-10T16:09:06.258Z
2,0x000a,25.5646,0x00000000,2016-11-10T16:09:05.837Z,2016-11-10T16:09:06.257Z
1,0x000a,0.985718,0x00000000,2016-11-10T16:09:05.795Z,2016-11-10T16:09:06.257Z
3,0x000a,0.692749,0x00000000,2016-11-10T16:09:06.550Z,2016-11-10T16:09:06.953Z
2,0x000a,25.3021,0x00000000,2016-11-10T16:09:06.535Z,2016-11-10T16:09:06.953Z
1,0x000a,0.845337,0x00000000,2016-11-10T16:09:06.496Z,2016-11-10T16:09:06.953Z
3,0x000a,0.720215,0x00000000,2016-11-10T16:09:07.306Z,2016-11-10T16:09:07.573Z
2,0x000a,26.1292,0x00000000,2016-11-10T16:09:07.263Z,2016-11-10T16:09:07.573Z
1,0x000a,0.878906,0x00000000,2016-11-10T16:09:07.225Z,2016-11-10T16:09:07.573Z
2,0x000a,27.2125,0x00000000,2016-11-10T16:09:07.903Z,2016-11-10T16:09:08.306Z
1,0x000a,0.796509,0x00000000,2016-11-10T16:09:07.865Z,2016-11-10T16:09:08.306Z
3,0x000a,0.71106,0x00000000,2016-11-10T16:09:08.592Z,2016-11-10T16:09:08.965Z
2,0x000a,24.1516,0x00000000,2016-11-10T16:09:08.555Z,2016-11-10T16:09:08.965Z
1,0x000a,0.848389,0x00000000,2016-11-10T16:09:08.533Z,2016-11-10T16:09:08.965Z
3,0x000a,0.747681,0x00000000,2016-11-10T16:09:09.303Z,2016-11-10T16:09:09.625Z
2,0x000a,27.0752,0x00000000,2016-11-10T16:09:09.283Z,2016-11-10T16:09:09.624Z
